科目コード,部門コード,PJコード,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
2000,D01,PJ003,347325,360834,750997,471309,178595,597280,861568,371427,711388,854060,436089,192345
3000,D02,,418189,578945,266723,524989,979803,979053,545998,719961,496769,499341,779282,858417
4000,S01,PJ001,670598,296682,125996,827602,324353,425334,817818,759013,519489,480882,784791,359605
4100,S02,PJ002,808603,773544,448865,769918,653090,687036,319194,632303,847331,596905,328450,551739
1000,D01,PJ003,774901,902452,763981,427586,144238,767070,718331,963659,455251,571954,173544,887429
2000,D02,,780033,129996,192606,472149,438776,410171,692473,368305,544522,469737,384834,950008
3000,S01,PJ001,539106,926806,549484,794395,232656,562217,147995,784229,462023,559756,700208,598681
4000,S02,PJ002,209836,663274,360817,604113,637282,882437,916078,920834,616546,873688,920849,569603
4100,D01,PJ003,123886,789212,282279,568066,814242,105267,585328,955560,136039,216713,751738,639568
1000,D02,,925663,392635,673390,940258,360166,434449,672138,922431,833221,945309,492348,198773
2000,S01,PJ001,426342,723320,284636,627819,340399,469843,199567,589081,116115,151968,569222,229891
3000,S02,PJ002,792509,797698,639250,766961,609717,601717,619701,794037,315948,892255,545112,472835
4000,D01,PJ003,653868,742553,177136,910255,161605,580448,471301,521028,697843,445499,880758,388223
4100,D02,,788194,386895,879631,695592,622371,871026,889111,246871,515847,915342,878482,863207
1000,S01,PJ001,193197,873586,975486,614550,839726,368840,133766,527551,468036,128813,738611,850053
2000,S02,PJ002,730535,211935,989479,706184,788224,346090,193457,212688,772781,154081,386843,365568
3000,D01,PJ003,738276,706833,358382,913894,681295,721737,979637,110450,719074,645901,422420,610483
4000,D02,,464195,718420,596502,881319,626722,832324,134260,418736,303131,620752,408480,899733
4100,S01,PJ001,782915,759964,617471,586315,996722,139859,968895,695767,905621,501388,327296,933288
1000,S02,PJ002,874548,765263,493675,658655,182828,688746,336515,890499,760402,867757,152337,182421
2000,D01,PJ003,647057,541161,741845,163132,162130,971346,671773,561606,152327,703930,883666,950692
3000,D02,,100253,249010,213106,539327,268983,202663,467866,986875,929699,670831,126113,503688
4000,S01,PJ001,165134,125928,712599,604712,662795,180022,179021,548356,833022,760941,449840,689011
4100,S02,PJ002,345207,843508,190126,817429,404634,331140,863057,902614,380860,282554,401517,444192
1000,D01,PJ003,697489,518054,306657,413172,202178,928947,166878,560265,269777,419563,583561,242630
2000,D02,,660610,538084,882663,980230,378324,957771,830045,922709,742054,811054,508983,760932
3000,S01,PJ001,223705,620071,181926,915998,421145,353894,663177,933086,506049,540229,978520,999081
4000,S02,PJ002,659563,619079,545267,443331,795452,261135,344042,293395,765550,454870,141349,896152
4100,D01,PJ003,828259,962224,165178,746267,244254,456151,123938,936104,799957,545744,995523,931799
1000,D02,,908222,576266,827331,207687,700978,299327,393195,766143,285440,515037,548654,428082
2000,S01,PJ001,373958,351786,429556,678747,360549,693533,390356,884471,853283,245309,601759,729989
3000,S02,PJ002,410763,148712,713782,177817,500705,294951,417712,734097,397971,582507,539002,350080
4000,D01,PJ003,488782,577502,922894,992862,861935,194626,318215,558736,451612,113814,860623,818003
4100,D02,,247980,142276,860449,808481,212092,875108,131701,156309,206754,153974,534579,529587
1000,S01,PJ001,231721,836778,387835,683835,705068,193558,583922,794961,990179,662543,593365,487509
2000,S02,PJ002,945972,777816,747372,172104,761757,144483,779678,720684,495623,158236,646066,913347
3000,D01,PJ003,466908,326840,288710,378248,129439,212313,195436,716867,149134,240772,575179,667340
4000,D02,,574998,745892,480341,654864,785737,836532,688215,453582,324619,825610,542719,404534
4100,S01,PJ001,815756,161235,181472,480732,198719,649660,508259,946984,904294,719719,574618,385794
1000,S02,PJ002,148986,592672,807281,346125,436483,720655,571095,198758,321550,358266,973789,213281
2000,D01,PJ003,594867,243405,916034,353701,548072,689723,817545,738715,329615,252327,660160,953812
3000,D02,,913189,968465,328732,773888,392165,455462,599354,669371,482941,343987,540991,306391
4000,S01,PJ001,240911,528914,996502,601565,998852,681336,716289,196908,949591,303214,210495,238666
4100,S02,PJ002,911097,613686,838667,643128,512468,485532,453327,462551,947152,101216,131001,357253
1000,D01,PJ003,321949,933449,758869,763791,539268,903442,482883,890342,945311,916462,138221,921941
2000,D02,,434953,555030,722316,985381,572766,625930,611377,477526,171761,231375,910656,213254
3000,S01,PJ001,626952,946140,206685,962570,328264,738109,718660,842465,816068,378604,359501,912572
4000,S02,PJ002,970102,468536,410571,689460,418055,847602,462122,957938,236761,400419,494399,935979
4100,D01,PJ003,181844,969595,243627,955763,215507,382235,741735,202351,182355,408608,473442,194337
1000,D02,,631009,839825,609620,605950,573259,184276,271925,367810,788405,289716,267532,605141
2000,S01,PJ001,124147,914554,118472,941510,128888,676478,833821,498455,595970,565017,538827,878429
3000,S02,PJ002,579211,445867,678661,480642,541481,672995,814429,876744,377252,230586,277509,588696
4000,D01,PJ003,793613,576881,524920,555214,960997,111870,349974,757033,335152,578266,620445,374129
4100,D02,,502357,297433,642994,164181,347101,661169,978183,856774,803048,860331,246847,475057
1000,S01,PJ001,632004,476387,489674,521688,177162,888346,412416,567691,106036,713905,564302,187434
2000,S02,PJ002,615759,243247,743978,257868,192800,911890,178838,158360,458177,433372,920711,338340
3000,D01,PJ003,947093,600919,711412,113859,734146,146011,129730,401608,844161,947513,181546,322932
4000,D02,,658391,459254,442993,621013,374002,949664,869593,704866,866624,902925,537614,211343
4100,S01,PJ001,264708,510350,454666,577255,426060,492407,901815,487218,171172,794209,945329,722806
1000,S02,PJ002,945639,381865,440595,647066,575250,178368,983095,918310,362290,281711,774257,888769
2000,D01,PJ003,187497,283565,404459,977168,373277,364503,861934,300278,462758,437448,591777,615577
3000,D02,,256365,386988,920919,882489,472404,314337,190907,793438,493813,184625,121662,608897
4000,S01,PJ001,144089,170666,520614,566595,777611,919370,514500,977056,296193,819970,948520,711522
4100,S02,PJ002,147765,782087,779201,910553,751083,660032,940406,899392,743678,630252,144673,796853
1000,D01,PJ003,149925,336445,651784,682559,724578,568492,355542,482324,518702,651756,946557,620226
2000,D02,,141728,355299,754679,135893,924491,193075,119518,541120,203678,658995,305025,980261
3000,S01,PJ001,986026,627546,813169,771875,825544,874718,856533,864109,662775,714596,136505,373789
4000,S02,PJ002,466354,780279,765391,868017,763973,565605,664553,634576,918255,981043,153606,393114
4100,D01,PJ003,551737,593653,475570,328089,644935,761687,178935,811026,662819,131203,405323,529508
1000,D02,,618130,437042,940836,579189,886553,379995,921177,439507,491754,897208,227528,784425
2000,S01,PJ001,195871,308711,450121,938779,843870,564980,283058,360765,136051,114094,375489,695686
3000,S02,PJ002,319188,785158,224000,683709,975549,441134,985743,985866,134277,439502,909695,530914
4000,D01,PJ003,811487,108643,659956,173679,631686,171946,987982,248870,354942,393272,616950,246711
4100,D02,,679351,286805,182748,869813,765616,904789,937045,956562,475543,558573,531082,254389
1000,S01,PJ001,588062,678667,144243,494027,770352,869926,111480,482137,477181,598225,337931,578588
2000,S02,PJ002,378928,897348,674662,169297,303416,853026,439243,810248,766141,420848,307763,277897
3000,D01,PJ003,974703,929605,212213,369819,442736,950127,407869,535192,146537,611177,855429,662818
4000,D02,,765086,758198,958455,917053,591088,449609,839294,331232,961468,634210,780258,557334
4100,S01,PJ001,760078,238280,417671,608161,351475,731883,766657,678266,855036,916901,286857,677112
1000,S02,PJ002,864630,761668,418973,181292,180932,570083,595915,455676,484845,140014,893594,268134
2000,D01,PJ003,416597,372656,286998,213053,922780,355103,715527,178161,839802,627876,273553,420623
3000,D02,,898677,792810,674422,615282,946494,130217,452869,913014,819530,417167,706702,615187
4000,S01,PJ001,819846,591261,159482,873203,261787,633948,375073,352584,478738,466072,610205,120373
4100,S02,PJ002,739974,319600,760808,474893,622543,855380,959963,645307,828716,565158,641179,997707
1000,D01,PJ003,676596,652653,472546,183303,708443,851356,940768,894151,373048,750825,977096,207256
2000,D02,,641949,556962,169142,279205,531712,922545,722205,754931,282232,127507,991793,924083
3000,S01,PJ001,597442,115729,223771,288772,578010,223282,473076,898419,276251,267346,699588,516051
4000,S02,PJ002,723147,532051,169417,792891,256207,943170,694137,527311,874967,884748,388022,470492
4100,D01,PJ003,746960,809314,443621,130672,396799,405094,861648,527613,362735,985186,165864,270743
1000,D02,,201290,956271,487298,724759,949624,750533,183395,716655,700098,109109,986343,842016
2000,S01,PJ001,471027,268395,539466,822652,850760,479022,247099,817220,782477,440401,108832,615110
3000,S02,PJ002,912780,820354,654661,825711,756436,373960,387423,881436,358223,946696,463385,589057
4000,D01,PJ003,455636,385137,270867,970971,946444,809818,619025,593984,310753,930367,380572,178786
4100,D02,,437543,595870,282495,458915,186182,512047,703891,394517,365132,894238,419559,600954
1000,S01,PJ001,205075,576382,996686,753703,543123,449739,761100,500590,558574,472643,752147,911308
2000,S02,PJ002,502418,235441,796617,984612,134290,586843,619945,999338,765380,384728,103239,241894
3000,D01,PJ003,373268,924991,391505,293476,558710,553381,969910,998741,370180,744698,947451,668318
4000,D02,,841790,121216,655291,986174,818018,208306,342140,429753,394451,843989,475624,240802
4100,S01,PJ001,625501,716713,319945,216172,374760,689323,794151,717438,237153,456843,515000,203328
1000,S02,PJ002,602380,445170,555782,150779,308769,816993,262472,159320,238699,782234,229600,747481
2000,D01,PJ003,832344,307588,451039,628193,454052,907353,322770,544854,515374,621431,955995,588670
3000,D02,,380309,357890,899510,482399,890473,760355,772470,807247,353729,203511,835418,541083
4000,S01,PJ001,252625,848673,135519,408010,212012,883764,381602,382143,310639,929434,772326,651853
4100,S02,PJ002,491181,670957,472106,636241,305795,490041,689518,718041,767696,749585,726046,408235
1000,D01,PJ003,189843,790824,501997,981561,962644,928400,468644,609244,155814,295802,774889,129952
2000,D02,,582302,408341,729156,731697,881153,152031,107619,359225,439476,272338,693457,721244
3000,S01,PJ001,629808,374535,774824,249422,399366,323185,975163,620890,698141,696651,220448,300330
4000,S02,PJ002,933000,411611,316655,659459,149683,461519,284742,100530,905186,760286,982975,645469
4100,D01,PJ003,628256,103377,324811,261517,619489,826487,832456,383039,851340,544894,138386,481647
1000,D02,,285356,541473,729096,348278,916557,470591,373171,339253,314417,843497,103341,832574
2000,S01,PJ001,877037,580279,656479,852622,330939,299235,340957,625127,998467,200620,198051,971492
3000,S02,PJ002,994995,893101,423941,743820,966875,614534,216752,468357,546784,136426,672038,546268
4000,D01,PJ003,664317,403181,994186,872422,571901,973632,236032,540558,413539,725696,959258,535783
4100,D02,,502138,606565,461701,813361,514523,596745,203887,793797,132830,105379,104031,731564
1000,S01,PJ001,952664,696657,276349,429513,842377,878909,847783,666489,264865,769714,343808,454507
2000,S02,PJ002,517637,868229,673629,748804,352712,518130,433147,614789,346733,119051,616512,375971
3000,D01,PJ003,206264,370561,327692,960420,418943,584641,225757,720409,497444,265348,226269,466411
4000,D02,,922487,153888,318030,112622,665132,296750,652284,939854,620646,240681,616046,693172
4100,S01,PJ001,642236,200805,805320,955694,596599,405417,528929,738717,405072,966832,488938,612373
1000,S02,PJ002,123104,103054,746789,151400,995126,946218,673660,403507,979729,319372,599724,203870
2000,D01,PJ003,138599,599151,682706,395517,399551,816484,680285,488920,170275,982814,466751,193025
3000,D02,,117020,322061,338136,900692,180428,870046,574535,670236,852927,456612,324925,879529
4000,S01,PJ001,689924,971885,379793,207606,742291,250291,115939,859342,232928,896674,335784,216128
4100,S02,PJ002,931390,870129,513099,496206,837089,436333,334984,699079,143818,311408,272239,560773
1000,D01,PJ003,226520,466998,175137,573971,784443,670368,467585,388273,599932,258312,236187,903374
2000,D02,,784806,920311,496102,639416,525917,741541,151194,185410,714234,737329,172736,119085
3000,S01,PJ001,995025,605354,747050,797979,292037,715624,321079,597876,741784,763754,359167,965386
4000,S02,PJ002,399405,388745,110361,787023,448219,152402,812715,953625,319233,619815,690868,176204
4100,D01,PJ003,205311,825980,468355,676649,412918,280302,713132,418779,736688,352617,423659,235255
1000,D02,,921349,957177,579451,827883,747111,671699,371033,536500,965918,163125,610197,409477
2000,S01,PJ001,329257,300138,388690,733815,135042,863703,614140,414570,576576,562974,943328,125869
3000,S02,PJ002,542455,720493,954523,886867,492634,596236,943753,740314,229525,206003,806943,385103
4000,D01,PJ003,145320,192303,294013,309681,856470,935395,504855,234926,933251,736300,626492,134265
4100,D02,,394394,165729,337995,602449,441738,242124,431985,473265,660732,664975,632274,834854
1000,S01,PJ001,188146,535012,804684,726057,681874,907579,965109,453572,590166,542998,446517,909393
2000,S02,PJ002,965106,192586,160623,812476,662099,745874,622391,868686,599202,221252,548180,794549
3000,D01,PJ003,664551,441174,362541,212882,210122,409384,320841,802535,599714,254722,555149,556155
4000,D02,,629997,186581,562999,335473,580543,396085,754419,150935,129905,402778,179380,863840
4100,S01,PJ001,892627,546116,606090,786311,738832,720511,135292,331969,742662,521133,659994,629567
1000,S02,PJ002,415946,268132,874830,150903,104679,414951,341449,717915,275814,865558,679669,827910
2000,D01,PJ003,828724,213932,567395,982261,924553,201380,156024,221821,375513,409155,899781,478102
3000,D02,,718026,746431,283408,576174,605274,952779,260469,560422,376948,298446,148883,599035
4000,S01,PJ001,780452,518865,261403,355995,566090,615033,198798,419903,634058,197195,640202,734977
4100,S02,PJ002,392609,831545,468002,200997,618312,438188,769992,271935,823943,623639,920449,786287
1000,D01,PJ003,927611,856164,870076,108647,230203,400448,276445,480000,813597,244385,826279,820884
2000,D02,,553687,749682,320343,554358,707460,615504,432891,435219,385507,620880,124957,683005
3000,S01,PJ001,949727,900527,317623,693860,421082,330677,245485,708012,350314,621927,701493,502061
4000,S02,PJ002,840106,774287,264156,689943,920186,130996,394578,710888,401300,645064,938267,755551
4100,D01,PJ003,549995,633224,328390,683958,624144,890327,681786,627632,183985,833645,817597,573493
1000,D02,,101583,279274,845792,790251,860548,744196,561757,923974,554509,708648,784506,455276
2000,S01,PJ001,354197,792346,315872,610631,646627,782483,663881,454834,440218,269984,818836,849512
3000,S02,PJ002,845542,475513,182307,381381,791466,524977,602576,170459,420776,437626,882751,508359
4000,D01,PJ003,168708,165467,806299,233236,687925,563527,206072,191132,350891,737746,442456,137198
4100,D02,,811618,935661,264545,147920,483235,976638,961724,618888,201202,419646,337652,567792
1000,S01,PJ001,752161,486087,131904,949515,656919,988016,273067,294869,949493,186781,772219,849892
2000,S02,PJ002,675685,993708,377593,193205,171750,171173,280020,378618,866140,225827,983787,915914
3000,D01,PJ003,836511,850928,971615,323298,169179,518769,317203,641153,191609,363506,496441,463543
4000,D02,,744326,990219,759019,741226,893889,977452,322704,929077,506356,455387,581780,303728
4100,S01,PJ001,724218,196595,961656,789268,324048,314058,586517,916587,175697,710111,557304,554654
1000,S02,PJ002,399709,924304,573853,234867,314426,445745,935787,383995,260018,918146,761281,515746
2000,D01,PJ003,426528,831526,850580,483862,896482,144499,252820,279511,232483,452033,931302,510636
3000,D02,,698230,225326,258405,960365,205764,879101,846454,617631,501901,822047,851763,907437
4000,S01,PJ001,985451,996571,241496,716864,191963,839686,438817,949224,871563,452800,216082,259363
4100,S02,PJ002,971086,345021,693477,545364,634449,313184,200253,739727,829722,773145,283048,560402
1000,D01,PJ003,673043,160900,193896,751331,480953,638745,418195,943138,654712,127821,521411,938553
2000,D02,,497785,883746,708670,149147,258263,764789,952874,534101,979307,924444,342403,457997
3000,S01,PJ001,958022,916032,504495,467974,277180,602649,251614,552711,332639,971754,685676,882557
4000,S02,PJ002,825830,150562,760085,879343,917120,237486,341516,951221,927284,346168,132182,812514
4100,D01,PJ003,456876,468405,780718,785105,577827,377074,812899,615161,538878,432636,491493,928135
1000,D02,,663114,441547,126887,527654,671570,751477,385425,132484,278512,852683,852596,724905
2000,S01,PJ001,720387,808026,244946,844422,658824,854784,742580,963379,503724,468144,782337,292937
3000,S02,PJ002,765324,181833,988322,651165,928520,859941,136936,518157,735106,489666,555128,853846
4000,D01,PJ003,849679,408489,680965,437925,785706,372404,341344,710089,961442,695914,295929,685773
4100,D02,,375046,821418,660179,683886,155316,620448,702795,402399,691746,175745,726775,709327
1000,S01,PJ001,970970,307650,319994,464459,417448,782219,860369,859470,589404,487372,620980,608466
2000,S02,PJ002,125681,803973,121134,656769,325983,453049,472372,976649,902302,400400,313291,447075
3000,D01,PJ003,615421,809356,743708,878957,932246,511700,588835,697513,547628,851117,279924,761716
4000,D02,,978766,663612,115995,528264,566391,933509,305425,439365,329227,487241,585926,478160
4100,S01,PJ001,451564,497240,977628,910752,912526,717574,556577,921600,357331,271608,615046,262290
1000,S02,PJ002,607673,115500,456489,547925,300844,294629,161533,354739,966614,122713,907843,958387
2000,D01,PJ003,108031,884411,978662,226928,345655,255985,650598,449418,798982,606691,432701,157303
3000,D02,,767358,656383,530368,956846,687301,491958,566702,425316,293906,931755,487412,124143
4000,S01,PJ001,488871,160560,746507,466084,626836,232367,664481,538895,735610,341989,439997,305715
4100,S02,PJ002,613825,483133,383355,636087,136346,844398,580305,877179,937032,480637,496070,761961
1000,D01,PJ003,796140,131164,849471,645106,648559,585603,245642,191902,639354,731010,328335,420077
2000,D02,,530679,131710,844592,137895,686632,789783,561550,207480,680351,882586,805041,627157
3000,S01,PJ001,902067,882404,576415,202083,615158,346512,511495,428170,220274,330538,163956,289874
4000,S02,PJ002,437328,192163,639848,351170,633363,220692,868761,110862,121103,350999,268866,629548
4100,D01,PJ003,409982,668181,565270,483685,245874,761988,447233,307327,243893,103378,299689,127619
1000,D02,,508512,184664,585463,793853,223042,210679,443248,218307,979031,400046,773569,855904
2000,S01,PJ001,162547,887946,946062,715449,891976,979619,622342,215543,440693,486472,832158,755173
3000,S02,PJ002,171114,894855,427772,867327,942034,887675,386709,536882,705771,153251,402877,831159
4000,D01,PJ003,826584,831072,584760,719297,809963,712306,321709,348627,910011,896299,915983,951064
4100,D02,,279011,729113,598947,723344,636439,542024,274898,500171,431365,860040,193829,533622
1000,S01,PJ001,559179,439409,543903,183842,334602,830134,313941,894434,260092,865466,997946,677306
2000,S02,PJ002,124562,481811,523721,160215,463026,902516,109454,281118,151522,523962,617826,582437
3000,D01,PJ003,346158,400785,363671,241825,830902,490281,289228,823383,468885,537586,793244,840788
4000,D02,,337747,517929,469991,263716,387466,975754,672085,988885,371080,891906,439513,500562
4100,S01,PJ001,701875,404804,862310,319484,621059,499658,203564,865531,853674,639230,644796,779569
1000,S02,PJ002,725491,146241,501443,332208,245637,555728,363693,981254,835546,238842,903878,738791
2000,D01,PJ003,956734,602392,269194,955475,702160,126250,549522,168751,769370,475156,915287,371884
3000,D02,,164118,567302,265573,749821,406342,336665,277854,667785,886839,257744,829013,687368
4000,S01,PJ001,764206,121103,711275,469688,934353,182664,962862,848912,273350,547231,202736,726109
4100,S02,PJ002,742605,516772,377182,407018,380477,685612,292869,189182,472393,914611,442204,424453
1000,D01,PJ003,889186,340347,344596,748019,883807,621664,766218,778743,764274,388511,789835,822447
2000,D02,,577430,546319,790619,980647,794443,519982,736130,392988,177461,483789,791541,502427
3000,S01,PJ001,410376,815742,750762,318690,151859,684469,123633,635327,903035,506826,372905,561898
4000,S02,PJ002,494045,523021,827664,229324,941872,810014,901621,899940,574143,222964,360385,121156
4100,D01,PJ003,956678,301862,281715,564566,988473,317811,748210,389412,184722,920257,179882,562679
1000,D02,,445982,230799,268192,503190,735450,931420,981662,420083,106882,996841,833283,109180
2000,S01,PJ001,689540,255775,291924,917251,431184,212854,990818,656869,414599,910572,607798,433681
3000,S02,PJ002,435697,461379,402514,118723,176469,886448,367044,194152,564805,227184,683296,929722
4000,D01,PJ003,738104,990878,271909,977562,789401,227768,124795,276133,257481,542735,119064,725578
4100,D02,,900696,637260,718971,699675,890036,437180,739805,822935,312565,572086,380292,120865
1000,S01,PJ001,112734,897717,636466,162765,837147,287866,206597,902932,108409,726334,902764,273023
2000,S02,PJ002,653277,678371,764561,423369,905969,950200,949000,955047,757709,542495,341432,137958
3000,D01,PJ003,246193,543474,648311,615573,398979,202796,963874,492397,673033,233872,664490,664088
4000,D02,,698910,754127,194175,880892,455201,979730,160699,684171,931470,316215,630158,804417
4100,S01,PJ001,155284,947962,292868,372734,856970,128768,886718,814844,567932,775377,951396,115514
1000,S02,PJ002,898286,595184,764426,692307,866364,696205,139004,527880,315375,803481,927573,387697
2000,D01,PJ003,414690,954238,467005,106993,753327,308588,429921,654152,832979,533608,679280,170800
3000,D02,,840954,463409,911233,609567,414002,786488,205600,890292,973987,448417,970819,854652
4000,S01,PJ001,932249,155075,739972,921395,317985,286141,378867,394050,675509,175371,500561,314217
4100,S02,PJ002,672780,285547,912439,147777,603474,455744,686078,826119,885318,405951,736567,304770
1000,D01,PJ003,355398,313287,673325,901063,727909,888615,252847,916369,369214,147699,742083,459538
2000,D02,,777730,269356,206825,973096,546444,367087,462688,683945,684471,387201,111900,594206
3000,S01,PJ001,195321,156984,151161,988257,861219,579307,644378,147428,451870,682847,828545,361842
4000,S02,PJ002,844417,708759,799101,765100,201953,655418,947177,658677,941606,562826,222502,695736
4100,D01,PJ003,146225,722314,104558,679831,784662,692516,399769,751620,578257,527082,829006,313896
1000,D02,,625570,660346,967567,633817,738992,167879,315085,228686,976001,453269,560917,432648
2000,S01,PJ001,363254,835717,831335,931586,345379,939269,504081,422534,282263,134870,307429,517580
3000,S02,PJ002,770040,118119,878861,335223,261212,541403,660882,949346,425953,984323,519591,699436
4000,D01,PJ003,709337,824791,337241,157212,509173,213059,597349,467266,978145,244035,414657,376204
4100,D02,,732835,584841,501014,555803,144551,936360,348764,845632,728468,784747,678001,370261
1000,S01,PJ001,931772,151490,474632,432703,656655,923279,173071,631555,945661,647992,262801,448422
2000,S02,PJ002,976997,457877,511383,145357,595931,588663,841790,846837,818816,459503,363680,831009
3000,D01,PJ003,516114,839498,668693,723896,806317,412352,683169,922843,148283,194951,675801,316167
4000,D02,,164326,510162,923398,907691,683854,678764,744310,116106,970208,887344,459008,547715
4100,S01,PJ001,394568,763931,518319,424295,717040,610451,598332,711279,613161,475449,810241,351199
1000,S02,PJ002,148448,964047,655943,804332,802600,378089,328694,510327,858494,824633,770672,431707
2000,D01,PJ003,317183,112994,855801,390816,504062,295436,976671,513649,247691,971985,346330,335820
3000,D02,,114344,357159,348542,386321,573442,720423,786363,646595,712671,893223,867678,722437
4000,S01,PJ001,222551,724968,833686,915583,674055,994189,551656,344575,646755,698553,369892,502294
4100,S02,PJ002,783266,872988,370057,711848,531355,573908,924902,123815,922032,625882,729738,402698
1000,D01,PJ003,464809,730208,585844,434518,528439,561136,974375,837134,259222,642625,921424,298073
2000,D02,,882562,816234,743456,977590,774800,458656,446478,438723,578105,221864,316167,796472
3000,S01,PJ001,795506,989091,181092,186155,274583,437121,244158,591860,969397,511814,731345,931814
4000,S02,PJ002,887782,805570,135554,171304,295377,727375,354179,712755,642207,675751,648783,551967
4100,D01,PJ003,459696,136168,311958,748477,575142,900848,299218,323825,803613,180900,760874,850177
1000,D02,,545309,103694,691671,944368,268454,674768,892040,495251,281639,600415,771094,387338
2000,S01,PJ001,929621,361651,376137,520514,644736,293862,845307,349528,440486,380774,979645,668940
3000,S02,PJ002,793529,141362,184374,527493,142109,732750,785894,559349,270149,396197,852627,488438
4000,D01,PJ003,738459,420386,329163,384522,447249,624520,315500,943271,420924,693694,608724,939019
4100,D02,,837583,605474,117818,493406,869177,102779,140412,595760,450514,772723,705633,578471
1000,S01,PJ001,487721,866514,174946,481848,742225,959602,522834,546984,832709,740802,788714,623516
2000,S02,PJ002,546922,239554,510759,507622,183593,346375,685528,520678,596160,423033,189197,352013
3000,D01,PJ003,156989,766027,403707,933530,811409,835363,847676,808603,101526,811405,611899,562150
4000,D02,,286953,287646,605688,692430,268206,204985,500133,581835,163616,737131,145535,902667
4100,S01,PJ001,500387,829837,644209,719136,307442,276459,562758,839652,181825,308700,268591,667249
1000,S02,PJ002,545936,296984,133492,874289,326375,279268,888142,681688,171712,669597,276686,611882
2000,D01,PJ003,663566,647937,891239,685108,715417,971199,151591,471962,829829,601212,619059,233805
3000,D02,,664293,810658,319590,206103,952116,128726,278282,205938,575885,590553,370646,995356
4000,S01,PJ001,582844,498537,995064,676413,909715,404242,786023,748001,188225,510159,164644,394513
4100,S02,PJ002,826362,498043,364715,835854,315710,797192,663817,798644,611671,431451,900016,225028
1000,D01,PJ003,727064,786552,509127,960686,317338,682693,375545,209712,411696,634927,927329,236355
2000,D02,,472740,903083,265945,768710,891617,586818,913613,539380,969425,550273,607986,495646
3000,S01,PJ001,937443,934792,402510,342537,538397,275116,390137,359375,800484,754578,414924,530664
4000,S02,PJ002,256809,866590,310720,299798,915847,481924,268421,175439,795072,655463,219443,599582
4100,D01,PJ003,667039,286295,607079,403236,158196,653581,897290,903379,502979,506428,898056,891164
1000,D02,,181136,905238,615182,318089,800859,557546,419848,802328,574892,479093,630712,438523
2000,S01,PJ001,555770,299694,218271,240193,314241,981177,584131,444194,518921,904842,670526,844260
3000,S02,PJ002,548282,586315,182470,784572,492852,515940,678316,736659,688571,946946,512146,648812
4000,D01,PJ003,963080,405200,806276,731179,736114,566140,334588,148004,351889,226851,812359,716934
4100,D02,,686462,783471,883713,815886,349580,828603,971469,325180,701145,391195,922023,482825
1000,S01,PJ001,541377,729285,911336,136613,552582,453004,739672,553195,200266,642594,504722,910768
2000,S02,PJ002,729344,622211,110381,158373,100001,311737,581985,338720,858211,391742,587807,804453
3000,D01,PJ003,923463,225294,562428,783688,920004,795203,546231,149857,920033,852966,995199,251608
4000,D02,,470024,329862,197372,674653,207780,895271,565961,764888,386270,124601,990335,400495
4100,S01,PJ001,967232,771141,347704,418900,402210,444564,107730,623048,401950,858469,862096,580608
1000,S02,PJ002,438076,260111,864406,168506,488163,905575,556641,521593,465770,286563,310199,313286
2000,D01,PJ003,825916,970895,522299,185419,463886,905606,747970,702503,235623,673174,884331,774283
3000,D02,,983852,376948,915753,730840,520945,334842,875839,583453,832345,621294,898647,311863
4000,S01,PJ001,505725,909550,394366,681654,485748,563348,885814,711460,614685,460387,310957,711832
4100,S02,PJ002,429253,243983,462476,998777,323867,688631,238455,232637,835848,493828,205963,234879
1000,D01,PJ003,321352,537622,408611,964556,593717,901685,469402,651917,699470,993187,784948,445174
2000,D02,,378689,687922,570970,308270,483174,557501,422903,312147,835368,490931,507415,526793
3000,S01,PJ001,137860,264533,435686,328400,912830,569249,530401,826531,717981,470997,763834,158511
4000,S02,PJ002,803175,673122,901357,231367,920257,963068,486991,569456,592447,592549,769091,341948
4100,D01,PJ003,645159,116996,370603,950559,392550,827998,439703,154105,662075,925497,271542,974726
1000,D02,,275918,555209,354338,858280,792116,785573,575928,372886,510867,715140,888763,113747
2000,S01,PJ001,447973,835578,825355,806281,937728,371190,980741,535595,448529,236054,698426,860046
3000,S02,PJ002,504023,205360,932268,604751,265639,672612,369180,569563,179474,497712,694564,194479
4000,D01,PJ003,551884,738201,269197,560705,918095,783818,765557,429539,794268,467342,410229,161568
4100,D02,,779710,744936,162427,985002,424770,398551,837950,777033,457660,646179,854024,534971
1000,S01,PJ001,292992,432823,826223,824172,904062,470688,918002,690412,246569,576740,354434,900957
2000,S02,PJ002,981889,461788,895883,489300,929724,990770,373009,434041,198754,806400,211804,513565
3000,D01,PJ003,864788,331374,816543,704764,942997,876429,890461,905727,978763,860260,167040,506400
4000,D02,,210524,634488,241044,964273,248289,996865,489376,333284,412404,516199,502691,627628
4100,S01,PJ001,222755,547953,109204,888354,531246,322357,573289,509716,658317,932855,568418,833510
1000,S02,PJ002,835629,167581,839704,293556,948912,846216,101436,327530,421839,210053,343461,642210
2000,D01,PJ003,881471,808874,101819,589115,673023,610198,860710,300772,879513,671135,349020,930346
3000,D02,,980911,782964,650410,556378,533501,108639,841926,153505,310157,538787,345939,738293
4000,S01,PJ001,788291,561352,767492,856631,380821,404525,852676,320742,152854,254433,696523,215105
